Sub_District,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Customer_to_Competitor_r
Berbah,27,0,3,9.0
Gamping,40,3,17,2.5294117647058822
Kalasan,12,2,6,2.3333333333333335
Umbulharjo,11,3,6,2.3333333333333335
Wirobrajan,8,5,6,2.1666666666666665
Sleman,12,10,11,2.0
Depok,7,1,4,2.0
Kotagede,10,11,11,1.9090909090909092
Prambanan,14,0,8,1.75
Ngemplak,13,2,9,1.6666666666666667
Ngaglik,25,9,22,1.5454545454545454
Seyegan,5,0,4,1.25
Pakem,13,4,15,1.1333333333333333
Godean,21,2,21,1.0952380952380953
Mlati,11,2,13,1.0
Moyudan,8,0,8,1.0
Cangkringan,1,0,1,1.0
Tempel,7,0,8,0.875
Minggir,1,0,2,0.5
Turi,0,0,3,0.0
