Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Sleman,Berbah,Jogotirto,-7.8129504,110.4720599439792,2,0,1,0
Sleman,Berbah,Kalitirto,-7.7951321999999985,110.45535821765259,4,0,0,0
Sleman,Berbah,Sendangtirto,-7.82044215,110.43136629566452,8,0,2,0
Sleman,Berbah,Tegaltirto,-7.8054225000000015,110.44172488085177,13,0,0,0
Sleman,Cangkringan,Argomulyo,-7.670609700000001,110.457459150461,0,0,0,0
Sleman,Cangkringan,Glagaharjo,-7.62522955,110.46768107597264,0,0,0,0
Sleman,Cangkringan,Kepuharjo,-7.6254682,110.45259640000002,1,0,1,0
Sleman,Cangkringan,Wukirsari,-7.6520334,110.44680550283303,0,0,0,0
Sleman,Depok,Maguwoharjo,-7.768693799999999,110.43273640000001,7,1,4,0
Sleman,Gamping,Ambarketawang,-7.8014489000000005,110.3218737,11,0,5,0
Sleman,Gamping,Balecatur,-7.807841099999999,110.3037379,8,1,1,0
Sleman,Gamping,Banyuraden,-7.79162,110.3388925,2,0,2,0
Sleman,Gamping,Nogotirto,-7.7702585000000015,110.33581391920679,7,1,4,0
Sleman,Gamping,Trihanggo,-7.7571187,110.3517176,12,1,5,0
Sleman,Godean,Sidoagung,-7.76618085,110.29834600699844,3,1,3,0
Sleman,Godean,Sidoarum,-7.7732136,110.3276793,3,1,10,0
Sleman,Godean,Sidokarto,-7.77627705,110.3041589565302,11,0,6,0
Sleman,Godean,Sidoluhur,-7.768950849999999,110.28157568890384,3,0,2,0
Sleman,Godean,Sidomoyo,-7.7600099,110.31825080990845,0,0,0,0
Sleman,Godean,Sidomulyo,-7.783993799999999,110.15250800000001,0,0,0,0
Sleman,Godean,Sidorejo,-7.7492391000000005,110.28561450000001,1,0,0,0
Sleman,Kalasan,Purwomartani,-7.75818705,110.45557069767904,2,0,0,0
Sleman,Kalasan,Selomartani,-7.72417035,110.46197823338574,1,0,0,0
Sleman,Kalasan,Tamanmartani,-7.7391952999999996,110.4817908943975,0,0,3,0
Sleman,Kalasan,Tirtomartani,-7.75929095,110.47129089057242,9,2,3,0
Sleman,Minggir,Sendangagung,-7.726428,110.2451237,1,0,0,0
Sleman,Minggir,Sendangarum,-7.74538965,110.2528653736648,0,0,0,0
Sleman,Minggir,Sendangmulyo,-7.7426899,110.23538416199594,0,0,0,0
Sleman,Minggir,Sendangrejo,-7.7272267999999995,110.26945289123785,0,0,1,0
Sleman,Minggir,Sendangsari,-7.721016499999998,110.2543945248343,0,0,1,0
Sleman,Mlati,Sendangadi,-7.733716499999999,110.36890729999999,3,2,6,0
Sleman,Mlati,Sumberadi,-7.721209399999999,110.33781850000001,2,0,3,0
Sleman,Mlati,Tirtoadi,-7.746400099999999,110.3310165,2,0,1,0
Sleman,Mlati,Tlogoadi,-7.7329816,110.3475649,4,0,3,0
Sleman,Moyudan,Sumberagung,-7.7629521,110.25366533028877,5,0,7,0
Sleman,Moyudan,Sumberarum,-7.766153500000001,110.2408898,3,0,1,0
Sleman,Moyudan,Sumberrahayu,-7.795372,110.25234540000001,0,0,0,0
Sleman,Moyudan,Sumbersari,-7.78265475,110.27326110245292,0,0,0,0
Sleman,Ngaglik,Donoharjo,-7.6875954,110.3886959,4,0,2,0
Sleman,Ngaglik,Minomartani,-7.7345297,110.4075393,3,2,2,0
Sleman,Ngaglik,Sardonoharjo,-7.700580400000001,110.40265090000001,1,0,4,0
Sleman,Ngaglik,Sariharjo,-7.7287731,110.37980337687021,4,3,6,0
Sleman,Ngaglik,Sinduharjo,-7.7221769,110.4109855,3,1,0,0
Sleman,Ngaglik,Sukoharjo,-7.6986524,110.4302895,10,3,8,0
Sleman,Ngemplak,Bimomartani,-7.70115725,110.46300498619577,5,0,2,0
Sleman,Ngemplak,Sindumartani,-7.695977,110.47597920000001,0,0,2,0
Sleman,Ngemplak,Umbulmartani,-7.6844399999999995,110.43525249999999,1,1,3,0
Sleman,Ngemplak,Wedomartani,-7.7291658,110.4328328,6,0,0,0
Sleman,Ngemplak,Widodomartani,-7.69616745,110.44900182105042,1,1,2,0
Sleman,Pakem,Candibinangun,-7.65739945,110.40172490564363,0,0,0,0
Sleman,Pakem,Hargobinangun,-7.59551805,110.43075988654293,6,1,9,0
Sleman,Pakem,Harjobinangun,-7.6694491,110.4114568,2,1,2,0
Sleman,Pakem,Pakembinangun,-7.6579966000000015,110.42247583919158,4,2,4,0
Sleman,Pakem,Purwobinangun,-7.6255926999999994,110.40722271397591,1,0,0,0
Sleman,Prambanan,Bokoharjo,-7.76428525,110.48924538625454,10,0,2,0
Sleman,Prambanan,Gayamharjo,-7.80754245,110.53530722247177,0,0,0,0
Sleman,Prambanan,Madurejo,-7.79371975,110.48433401214164,4,0,2,0
Sleman,Prambanan,Sambirejo,-7.783502400000001,110.50669735400726,0,0,2,0
Sleman,Prambanan,Sumberharjo,-7.80863675,110.49734488528772,0,0,2,0
Sleman,Prambanan,Wukirharjo,-7.814231200000001,110.51819832251057,0,0,0,0
Sleman,Seyegan,Margoagung,-7.705851450000001,110.30340380066313,3,0,1,0
Sleman,Seyegan,Margodadi,-7.73338605,110.2940325129801,0,0,1,0
Sleman,Seyegan,Margokaton,-7.716505499999999,110.296628,1,0,2,0
Sleman,Seyegan,Margoluwih,-7.75283635,110.30093768502736,0,0,0,0
