Regency;Sub_District;Village;Latitude;Longitude;Number_College_Venues;Number_Office_Venues;Number_Coffee_Venues;Cluster_Label
Sleman;Cangkringan;Umbulharjo;-7.8143777;110.3873737;20;9;12;1
Sleman;Depok;Caturtunggal;-7.76739765;110.3884916;28;16;30;1
Sleman;Depok;Condongcatur;-7.7541293;110.4006194;4;13;13;1
Sleman;Mlati;Sinduadi;-7.7582322;110.3727371;32;5;13;1
Kota Yogyakarta;Danurejan;Bausasran;-7.79936195;110.3731806;15;27;9;1
Kota Yogyakarta;Danurejan;Tegalpanggung;-7.7934268;110.3711352;13;26;17;1
Kota Yogyakarta;Gedongtengen;Pringgokusuman;-7.792505;110.3586344;8;16;17;1
Kota Yogyakarta;Gondokusuman;Baciro;-7.7934704;110.3829725;27;18;4;1
Kota Yogyakarta;Gondomanan;Ngupasan;-7.80468305;110.3712478;16;18;12;1
Kota Yogyakarta;Gondomanan;Prawirodirjan;-7.80084825;110.3664578;17;24;21;1
Kota Yogyakarta;Jetis;Bumijo;-7.7848352;110.3594767;18;27;15;1
Kota Yogyakarta;Kotagede;Prenggan;-7.8207434;110.3974193;9;6;15;1
Kota Yogyakarta;Kraton;Panembahan;-7.8086288;110.3661821;12;15;17;1
Kota Yogyakarta;Kraton;Kadipaten;-7.80783795;110.3591871;17;10;13;1
Kota Yogyakarta;Kraton;Patehan;-7.81090445;110.3607098;17;10;9;1
Kota Yogyakarta;Mantrijeron;Gedongkiwo;-7.8171586;110.3540101;16;3;9;1
Kota Yogyakarta;Mantrijeron;Suryodiningratan;-7.81975655;110.3591406;14;5;19;1
Kota Yogyakarta;Mantrijeron;Mantrijeron;-7.81806685;110.3597312;14;6;20;1
Kota Yogyakarta;Mergangsan;Brontokusuman;-7.8216755;110.3720775;9;9;18;1
Kota Yogyakarta;Mergangsan;Keparakan;-7.81190505;110.3713592;39;17;13;1
Kota Yogyakarta;Mergangsan;Wirogunan;-7.8088261;110.376306;41;7;9;1
Kota Yogyakarta;Ngampilan;Ngampilan;-7.80218335;110.3576152;27;10;5;1
Kota Yogyakarta;Ngampilan;Notoprajan;-7.80476795;110.3549974;30;9;6;1
Kota Yogyakarta;Pakualaman;Gunungketur;-7.7992594;110.3786366;27;25;13;1
Kota Yogyakarta;Pakualaman;Purwokinanti;-7.79298975;110.37545;6;23;12;1
Kota Yogyakarta;Tegalrejo;Bener;-7.77613145;110.3523934;18;5;4;1
Kota Yogyakarta;Tegalrejo;Karangwaru;-7.77426865;110.3641123;28;12;11;1
Kota Yogyakarta;Tegalrejo;Kricak;-7.773404;110.3569328;13;8;5;1
Kota Yogyakarta;Tegalrejo;Tegalrejo;-7.78045495;110.355073;24;14;2;1
Kota Yogyakarta;Umbulharjo;Pandeyan;-7.81831055;110.3884081;14;7;9;1
Kota Yogyakarta;Umbulharjo;Warungboto;-7.80821305;110.3902059;26;7;15;1
Kota Yogyakarta;Umbulharjo;Muja muju;-7.7986723;110.3927106;29;30;3;1
Kota Yogyakarta;Umbulharjo;Semaki;-7.7978461;110.3837372;25;28;5;1
Kota Yogyakarta;Umbulharjo;Tahunan;-7.8067426;110.3831715;13;9;7;1
Kota Yogyakarta;Wirobrajan;Pakuncen;-7.79696465;110.3511308;20;9;3;1
Kota Yogyakarta;Wirobrajan;Wirobrajan;-7.8026238;110.3504467;22;4;3;1
;;;;;;;;
Sub_District;Number_College_Venues;Number_Office_Venues;Number_Coffee_Venues;Customer_to_Competitor_r;;;;
Gondokusuman;27;18;4;11.25;;;;
Wirobrajan;42;13;6;9.166666667;;;;
Ngampilan;57;19;11;6.909090909;;;;
Tegalrejo;83;39;22;5.545454545;;;;
Umbulharjo;107;81;39;4.820512821;;;;
Pakualaman;33;48;25;3.24;;;;
Danurejan;28;53;26;3.115384615;;;;
Mergangsan;89;33;40;3.05;;;;
Jetis;18;27;15;3;;;;
Mlati;32;5;13;2.846153846;;;;
Cangkringan;20;9;12;2.416666667;;;;
Gondomanan;33;42;33;2.272727273;;;;
Kraton;46;35;39;2.076923077;;;;
Depok;32;29;43;1.418604651;;;;
Gedongtengen;8;16;17;1.411764706;;;;
Mantrijeron;44;14;48;1.208333333;;;;
Kotagede;9;6;15;1;;;;
