Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Sleman,Berbah,Jogotirto,-7.8129504,110.47205994397919,2,0,1,0
Sleman,Berbah,Kalitirto,-7.795132199999999,110.45535821765259,4,0,0,0
Sleman,Berbah,Sendangtirto,-7.82044215,110.43136629566453,8,0,2,0
Sleman,Berbah,Tegaltirto,-7.805422500000001,110.44172488085177,13,0,0,0
Sleman,Cangkringan,Argomulyo,-7.6706097,110.45745915046099,0,0,0,0
Sleman,Cangkringan,Glagaharjo,-7.62522955,110.46768107597262,0,0,0,0
Sleman,Cangkringan,Kepuharjo,-7.6254682,110.4525964,1,0,1,0
Sleman,Cangkringan,Wukirsari,-7.6520334000000005,110.44680550283302,0,0,0,0
Sleman,Cangkringan,Umbulharjo,-7.8143777,110.38737370991501,20,9,12,1
Sleman,Depok,Caturtunggal,-7.7673976499999995,110.38849155,28,16,30,1
Sleman,Depok,Condongcatur,-7.7541293,110.40061938064383,4,13,13,1
Sleman,Depok,Maguwoharjo,-7.7686938,110.4327364,7,1,4,0
Sleman,Gamping,Ambarketawang,-7.8014489,110.3218737,11,0,5,0
Sleman,Gamping,Balecatur,-7.8078411,110.3037379,8,1,1,0
Sleman,Gamping,Banyuraden,-7.79162,110.3388925,2,0,2,0
Sleman,Gamping,Nogotirto,-7.770258500000001,110.33581391920681,7,1,4,0
Sleman,Gamping,Trihanggo,-7.7571187,110.3517176,12,1,5,0
Sleman,Godean,Sidoagung,-7.76618085,110.29834600699846,3,1,3,0
Sleman,Godean,Sidoarum,-7.7732136,110.3276793,3,1,10,0
Sleman,Godean,Sidokarto,-7.77627705,110.30415895653019,11,0,6,0
Sleman,Godean,Sidoluhur,-7.7689508499999995,110.28157568890384,3,0,2,0
Sleman,Godean,Sidomoyo,-7.7600099,110.31825080990846,0,0,0,0
Sleman,Godean,Sidomulyo,-7.7839938,110.152508,0,0,0,0
Sleman,Godean,Sidorejo,-7.7492391,110.2856145,1,0,0,0
Sleman,Kalasan,Purwomartani,-7.75818705,110.45557069767904,2,0,0,0
Sleman,Kalasan,Selomartani,-7.72417035,110.46197823338574,1,0,0,0
Sleman,Kalasan,Tamanmartani,-7.7391953,110.48179089439753,0,0,3,0
Sleman,Kalasan,Tirtomartani,-7.7592909500000005,110.47129089057242,9,2,3,0
Sleman,Minggir,Sendangagung,-7.726428,110.2451237,1,0,0,0
Sleman,Minggir,Sendangarum,-7.74538965,110.25286537366479,0,0,0,0
Sleman,Minggir,Sendangmulyo,-7.7426899,110.23538416199597,0,0,0,0
Sleman,Minggir,Sendangrejo,-7.7272268,110.26945289123785,0,0,1,0
Sleman,Minggir,Sendangsari,-7.721016499999999,110.25439452483428,0,0,1,0
Sleman,Mlati,Sendangadi,-7.7337165,110.3689073,3,2,6,0
Sleman,Mlati,Sinduadi,-7.7582322,110.3727371,32,5,13,1
Sleman,Mlati,Sumberadi,-7.7212094,110.3378185,2,0,3,0
Sleman,Mlati,Tirtoadi,-7.7464001,110.3310165,2,0,1,0
Sleman,Mlati,Tlogoadi,-7.7329816,110.3475649,4,0,3,0
Sleman,Moyudan,Sumberagung,-7.7629521,110.25366533028875,5,0,7,0
Sleman,Moyudan,Sumberarum,-7.7661535,110.2408898,3,0,1,0
Sleman,Moyudan,Sumberrahayu,-7.795372,110.2523454,0,0,0,0
Sleman,Moyudan,Sumbersari,-7.78265475,110.27326110245292,0,0,0,0
Sleman,Ngaglik,Donoharjo,-7.6875954,110.3886959,4,0,2,0
Sleman,Ngaglik,Minomartani,-7.7345297,110.4075393,3,2,2,0
Sleman,Ngaglik,Sardonoharjo,-7.7005804,110.4026509,1,0,4,0
Sleman,Ngaglik,Sariharjo,-7.7287731,110.3798033768702,4,3,6,0
Sleman,Ngaglik,Sinduharjo,-7.7221769,110.4109855,3,1,0,0
Sleman,Ngaglik,Sukoharjo,-7.6986524,110.4302895,10,3,8,0
Sleman,Ngemplak,Bimomartani,-7.70115725,110.46300498619578,5,0,2,0
Sleman,Ngemplak,Sindumartani,-7.695977,110.4759792,0,0,2,0
Sleman,Ngemplak,Umbulmartani,-7.68444,110.4352525,1,1,3,0
Sleman,Ngemplak,Wedomartani,-7.7291658,110.4328328,6,0,0,0
Sleman,Ngemplak,Widodomartani,-7.69616745,110.44900182105039,1,1,2,0
Sleman,Pakem,Candibinangun,-7.65739945,110.40172490564365,0,0,0,0
Sleman,Pakem,Hargobinangun,-7.59551805,110.43075988654293,6,1,9,0
Sleman,Pakem,Harjobinangun,-7.6694491,110.4114568,2,1,2,0
Sleman,Pakem,Pakembinangun,-7.657996600000001,110.42247583919158,4,2,4,0
Sleman,Pakem,Purwobinangun,-7.6255927,110.4072227139759,1,0,0,0
Sleman,Prambanan,Bokoharjo,-7.76428525,110.48924538625454,10,0,2,0
Sleman,Prambanan,Gayamharjo,-7.80754245,110.53530722247177,0,0,0,0
Sleman,Prambanan,Madurejo,-7.79371975,110.48433401214166,4,0,2,0
Sleman,Prambanan,Sambirejo,-7.7835024,110.50669735400726,0,0,2,0
Sleman,Prambanan,Sumberharjo,-7.80863675,110.49734488528772,0,0,2,0
