Sub_District,Village,Total_Population
Gondokusuman,Demangan,6.269
Gondokusuman,Kotabaru,2.088
Gondokusuman,Klitren,6.968
Gondokusuman,Baciro,8.927
Gondokusuman,Terban,6.647
Wirobrajan,Pakuncen,7.712
Wirobrajan,Wirobrajan,6.749
Wirobrajan,Patangpuluhan,5.393
Berbah,Sendangtirto,12.590
Berbah,Tegaltirto,8.833
Berbah,Kalitirto,9.692
Berbah,Jogotirto,7.800
Ngampilan,Ngampilan,7.367
Ngampilan,Notoprajan,5.798
Tegalrejo,Kricak,9.443
Tegalrejo,Karangawaru,6.883
Tegalrejo,Tegalrejo,6.540
Tegalrejo,Bener,3.529
