Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Sleman,Cangkringan,Umbulharjo,-7.8143777000000005,110.38737370991501,20,9,12,1
Sleman,Depok,Caturtunggal,-7.767397649999999,110.38849155,28,16,30,1
Sleman,Depok,Condongcatur,-7.754129300000001,110.40061938064385,4,13,13,1
Sleman,Mlati,Sinduadi,-7.7582322,110.37273710000001,32,5,13,1
Kota Yogyakarta,Danurejan,Bausasran,-7.79936195,110.37318062143757,15,27,9,1
Kota Yogyakarta,Danurejan,Tegalpanggung,-7.7934268,110.37113524966487,13,26,17,1
Kota Yogyakarta,Gedongtengen,Pringgokusuman,-7.792505,110.35863439304741,8,16,17,1
Kota Yogyakarta,Gondokusuman,Baciro,-7.7934703999999995,110.38297251861113,27,18,4,1
Kota Yogyakarta,Gondomanan,Ngupasan,-7.804683049999999,110.37124783457662,16,18,12,1
Kota Yogyakarta,Gondomanan,Prawirodirjan,-7.80084825,110.36645776489128,17,24,21,1
Kota Yogyakarta,Jetis,Bumijo,-7.7848352,110.35947665812799,18,27,15,1
Kota Yogyakarta,Kotagede,Prenggan,-7.8207434000000005,110.39741934169619,9,6,15,1
Kota Yogyakarta,Kraton,Panembahan,-7.8086288,110.36618209490265,12,15,17,1
Kota Yogyakarta,Kraton,Kadipaten,-7.80783795,110.35918707346805,17,10,13,1
Kota Yogyakarta,Kraton,Patehan,-7.81090445,110.36070981683204,17,10,9,1
Kota Yogyakarta,Mantrijeron,Gedongkiwo,-7.8171586,110.35401013561173,16,3,9,1
Kota Yogyakarta,Mantrijeron,Suryodiningratan,-7.81975655,110.35914062029462,14,5,19,1
Kota Yogyakarta,Mantrijeron,Mantrijeron,-7.81806685,110.3597311883563,14,6,20,1
Kota Yogyakarta,Mergangsan,Brontokusuman,-7.8216755000000004,110.37207746821993,9,9,18,1
Kota Yogyakarta,Mergangsan,Keparakan,-7.81190505,110.3713591628831,39,17,13,1
Kota Yogyakarta,Mergangsan,Wirogunan,-7.8088261,110.37630602833244,41,7,9,1
Kota Yogyakarta,Ngampilan,Ngampilan,-7.80218335,110.35761519601637,27,10,5,1
Kota Yogyakarta,Ngampilan,Notoprajan,-7.80476795,110.35499736334282,30,9,6,1
Kota Yogyakarta,Pakualaman,Gunungketur,-7.7992593999999995,110.37863660827419,27,25,13,1
Kota Yogyakarta,Pakualaman,Purwokinanti,-7.79298975,110.37544999654664,6,23,12,1
Kota Yogyakarta,Tegalrejo,Bener,-7.7761314499999985,110.35239335267944,18,5,4,1
Kota Yogyakarta,Tegalrejo,Karangwaru,-7.77426865,110.36411233396579,28,12,11,1
Kota Yogyakarta,Tegalrejo,Kricak,-7.773403999999999,110.35693279725737,13,8,5,1
Kota Yogyakarta,Tegalrejo,Tegalrejo,-7.78045495,110.355073023502,24,14,2,1
Kota Yogyakarta,Umbulharjo,Pandeyan,-7.81831055,110.38840805560143,14,7,9,1
Kota Yogyakarta,Umbulharjo,Warungboto,-7.80821305,110.39020589021263,26,7,15,1
Kota Yogyakarta,Umbulharjo,Muja muju,-7.7986723,110.3927105636262,29,30,3,1
Kota Yogyakarta,Umbulharjo,Semaki,-7.797846099999999,110.38373718275908,25,28,5,1
Kota Yogyakarta,Umbulharjo,Tahunan,-7.806742599999999,110.38317148351118,13,9,7,1
Kota Yogyakarta,Wirobrajan,Pakuncen,-7.79696465,110.351130831231,20,9,3,1
Kota Yogyakarta,Wirobrajan,Wirobrajan,-7.802623799999999,110.35044668863907,22,4,3,1
