Regency,Sub_District,Population,Latitude,Longitude
Kulon Progo,TEMON,29.116,-7.8889586000000005,110.07009015292033
Kulon Progo,WATES,48.949,-7.88590185,110.14075199888796
Kulon Progo,PANJATAN,38.745,-7.9154594,110.15044967104208
Kulon Progo,GALUR,32.742,-7.9507188499999994,110.20290364521915
Kulon Progo,LENDAH,41.083,-7.91238815,110.22927030664945
Kulon Progo,SENTOLO,49.959,-7.85557825,110.21878524409885
Kulon Progo,PENGASIH,52.457,-7.8301111500000005,110.15572129426239
Kulon Progo,KOKAP,36.214,-7.827651899999999,110.09325952668829
Kulon Progo,GIRIMULYO,24.689,-7.74796415,110.16347227203536
Kulon Progo,NANGGULAN,30.874,-7.77969935,110.20577901602101
Kulon Progo,SAMIGALUH,28.143,-7.682480099999999,110.17035188361112
Kulon Progo,KALIBAWANG,30.032,-7.6900391,110.23706291518798
Bantul,SRANDAKAN,31.082,-7.9599802,110.24073754303028
Bantul,SANDEN,31.810,-7.98139145,110.26652067268878
Bantul,KRETEK,30.764,-7.99260065,110.30177109979884
Bantul,PUNDONG,35.666,-7.9721687,110.3462567252939
Bantul,BAMBANG LIPURO,41.706,-7.94480625,110.30900494888004
Bantul,PANDAK,52.036,-7.92410645,110.28713519144854
Bantul,PAJANGAN,36.551,-7.8721449,110.29209451343851
Bantul,BANTUL,64.652,-7.89145945,110.33614768316843
Bantul,JETIS,58.631,-7.91069195,110.36196592198624
Bantul,IMOGIRI,63.835,-7.9361791,110.38592375967883
Bantul,DLINGO,39.998,-7.9191544,110.46106186993728
Bantul,BANGUNTAPAN,113.298,-7.82436695,110.41582421417951
Bantul,PLERET,48.497,-7.8778120000000005,110.42220093406885
Bantul,PIYUNGAN,52.862,-7.8451812499999996,110.45435489467214
Bantul,SEWON,100.563,-7.856156349999999,110.35246295798738
Bantul,KASIHAN,104.599,-7.81472015,110.33358617722354
Bantul,SEDAYU,48.156,-7.82522925,110.26009065741692
Gunung Kidul,WONOSARI,91.279,-7.8471675,110.4793346
Gunung Kidul,NGLIPAR,33.781,-7.8687997,110.62742767102128
Gunung Kidul,PLAYEN,61.646,-7.93965455,110.53574616655214
Gunung Kidul,PATUK,34.749,-7.8471675,110.4793346
Gunung Kidul,PALIYAN,33.153,-8.03006755,110.52590875344025
Gunung Kidul,PANGGANG,29.853,-8.0368225,110.4470665827028
Gunung Kidul,TEPUS,37.148,-8.11952315,110.65676624453081
Gunung Kidul,SEMANU,60.777,-8.0372779,110.6472482536475
Gunung Kidul,KARANGMOJO,57.038,-7.9333860000000005,110.66418871915941
Gunung Kidul,PONJONG,56.387,-7.97019135,110.733342164889
Gunung Kidul,RONGKOP,30.055,-8.080886750000001,110.74761651427251
Gunung Kidul,SEMIN,57.640,-7.857935250000001,110.7414321537802
Gunung Kidul,NGAWEN,35.118,-7.83636495,110.6832724278849
Gunung Kidul,GEDANGSARI,39.693,-7.842211949999999,110.59245627883928
Gunung Kidul,SAPTOSARI,39.898,-8.07596875,110.50452384591424
Gunung Kidul,GIRISUBO,25.657,-8.160112049999999,110.74262257205623
Gunung Kidul,TANJUNGSARI,29.488,-8.09522175,110.59035867868657
Gunung Kidul,PURWOSARI,21.249,-8.02442435,110.37725776819998
Sleman,GAMPING,93.912,-7.7843142499999995,110.3322103289057
Sleman,GODEAN,69.902,-7.76745795,110.29605045343693
Sleman,MOYUDAN,33.484,-7.77713635,110.2469801778149
Sleman,MINGGIR,32.512,-7.7318908,110.25071102992096
Sleman,SEYEGAN,50.993,-7.730995350000001,110.29843359206043
Sleman,MLATI,92.901,-7.73604105,110.32988799688775
Sleman,DEPOK,123.689,-7.768965700000001,110.40535724903832
Sleman,BERBAH,55.498,-7.8076284000000005,110.45065166326307
Sleman,PRAMBANAN,54.001,-7.784788799999999,110.49619466299865
Sleman,KALASAN,83.328,-7.74710005,110.46755438020578
Sleman,NGEMPLAK,62.864,-7.6759665,110.2971261
Sleman,NGAGLIK,98.525,-7.699279199999999,110.40585918393757
Sleman,SLEMAN,70.055,-7.6952864000000005,110.34462923977276
Sleman,TEMPEL,54.341,-7.66358655,110.32192336085072
Sleman,TURI,37.350,-7.6242624,110.3825756152559
Sleman,PAKEM,37.758,-7.62181845,110.41579708088466
Sleman,CANGKRINGAN,31.641,-7.6291899999999995,110.44792278704062
Kota Yogyakarta,TEGALREJO,37.375,-7.78045495,110.355073023502
Kota Yogyakarta,JETIS,27.381,-7.7815139,110.36466922681456
Kota Yogyakarta,GONDOKUSUMAN,43.141,-7.7867913,110.38115654472034
Kota Yogyakarta,DANUREJAN,21.390,-7.79284905,110.37177162547343
Kota Yogyakarta,GEDONGTENGEN,19.886,-7.78933775,110.36337628399158
Kota Yogyakarta,NGAMPILAN,18.483,-7.80218335,110.35761519601635
Kota Yogyakarta,WIROBRAJAN,28.084,-7.802623799999999,110.35044668863907
Kota Yogyakarta,MANTRIJERON,35.633,-7.81806685,110.3597311883563
Kota Yogyakarta,KRATON,21.905,-7.808798599999999,110.36272628555153
Kota Yogyakarta,GONDOMANAN,14.990,-7.8023947499999995,110.3661123368218
Kota Yogyakarta,PAKUALAMAN,10.731,-7.80039545,110.3762488736009
Kota Yogyakarta,MERGANGSAN,32.013,-7.8147344,110.37255797225316
Kota Yogyakarta,UMBULHARJO,70.538,-7.8143777,110.38737370991501
Kota Yogyakarta,KOTAGEDE,34.567,-7.81831055,110.39794090974735
