,Date,Rented Bike,Day Hour,Temperature_C,Humidity_percent,Wind speed_ms,Visibility_10m,Dew point temperature_C,Solar Radiation_mjm2,Rainfall_mm,Snowfall_cm,Seasons,Holiday,Weekday
0,2017-01-12,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
1,2017-01-12,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2,2017-01-12,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
3,2017-01-12,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
4,2017-01-12,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
5,2017-01-12,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
6,2017-01-12,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
7,2017-01-12,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
8,2017-01-12,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
9,2017-01-12,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes
10,2017-01-12,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes
11,2017-01-12,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes
12,2017-01-12,449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes
13,2017-01-12,451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes
14,2017-01-12,447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes
15,2017-01-12,463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes
16,2017-01-12,484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes
17,2017-01-12,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes
18,2017-01-12,862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
19,2017-01-12,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
20,2017-01-12,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
21,2017-01-12,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
22,2017-01-12,398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
23,2017-01-12,323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
24,2017-02-12,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
25,2017-02-12,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes
