,Date,Rented Bike,Day Hour,Temperature_C,Humidity_percent,Wind speed_ms,Visibility_10m,Dew point temperature_C,Solar Radiation_mjm2,Rainfall_mm,Snowfall_cm,Seasons,Holiday,Weekday
0,2017-01-12,254,0,-5.2,64.71461004591777,1.1631508098056809,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
1,2017-01-12,204,1,-5.5,66.78995451767659,0.5877866649021191,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2,2017-01-12,173,2,-6.0,68.87597017275151,0.6931471805599453,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
3,2017-01-12,107,3,-6.2,70.97244300775598,0.6418538861723948,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
4,2017-01-12,78,4,-6.0,62.65016087475425,1.1939224684724346,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
5,2017-01-12,100,5,-6.4,64.71461004591777,0.9162907318741551,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
6,2017-01-12,181,6,-6.6,60.59684199904321,0.832909122935104,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
7,2017-01-12,460,7,-7.4,66.78995451767659,0.6418538861723948,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
8,2017-01-12,930,8,-7.6,64.71461004591777,0.7419373447293773,2000,-19.8,0.009950330853168083,0.0,0.0,Winter,No Holiday,Yes
9,2017-01-12,490,9,-6.5,44.603535095374504,0.4054651081081644,1928,-22.4,0.20701416938432615,0.0,0.0,Winter,No Holiday,Yes
10,2017-01-12,339,10,-3.5,38.82612372324745,0.7884573603642702,1996,-21.2,0.5007752879124893,0.0,0.0,Winter,No Holiday,Yes
11,2017-01-12,360,11,-0.5,33.18601349806488,0.832909122935104,1936,-20.2,0.6626879730752367,0.0,0.0,Winter,No Holiday,Yes
12,2017-01-12,449,12,1.7,36.93016711846275,0.8754687373538999,2000,-17.2,0.7466879474879752,0.0,0.0,Winter,No Holiday,Yes
13,2017-01-12,451,13,2.4,40.73731248521497,0.9555114450274363,2000,-15.6,0.7701082216960736,0.0,0.0,Winter,No Holiday,Yes
14,2017-01-12,447,14,3.0,42.66326267763133,1.0986122886681098,2000,-14.6,0.6981347220709844,0.0,0.0,Winter,No Holiday,Yes
15,2017-01-12,463,15,2.1,62.65016087475425,1.4350845252893227,2000,-11.4,0.43178241642553783,0.0,0.0,Winter,No Holiday,Yes
16,2017-01-12,484,16,1.2,101.32033843486964,1.6486586255873816,793,-7.0,0.2151113796169455,0.0,0.0,Winter,No Holiday,Yes
17,2017-01-12,555,17,0.8,110.29918808998512,0.9555114450274363,2000,-6.5,0.07696104113612832,0.0,0.0,Winter,No Holiday,Yes
18,2017-01-12,862,18,0.6,128.61859293294106,0.8754687373538999,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
19,2017-01-12,600,19,0.0,154.52418569455884,0.9932517730102833,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
20,2017-01-12,426,20,-0.3,159.31659119752408,0.9162907318741551,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
21,2017-01-12,405,21,-0.8,164.1330209912553,0.5877866649021191,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
22,2017-01-12,398,22,-0.9,168.9730050693092,0.9162907318741551,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
