Under 30,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Charges,Total Revenue,Satisfaction Score,Churn Label
No,No,0,0,1,None,No,Yes,DSL,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,59.65,3,Yes
No,Yes,1,1,8,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,633.3,1024.1,3,Yes
No,No,3,0,18,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1752.55,1910.88,2,Yes
No,Yes,1,1,25,Offer C,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2514.5,2995.07,2,Yes
No,Yes,1,1,37,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2868.15,3102.36,2,Yes
No,No,1,0,27,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2135.5,2235.41,1,Yes
No,Yes,2,1,1,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,85.73,2,Yes
No,Yes,0,6,58,Offer B,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2651.2,2610.25,1,Yes
No,No,2,0,15,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,1145.7,1806.75,2,Yes
No,No,2,0,7,Offer E,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,503.6,681.2,2,Yes
No,No,1,0,11,Offer D,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1120.3,1367.79,1,Yes
No,No,0,0,15,Offer D,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1074.3,1510.9499999999998,1,Yes
No,Yes,0,1,1,Offer E,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,2,Yes
No,No,0,0,3,Offer E,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,132.2,132.2,2,Yes
No,No,0,0,13,Offer D,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1364.3,1799.1399999999999,1,Yes
No,No,0,0,16,Offer D,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1511.2,1662.08,1,Yes
No,No,0,0,8,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,606.55,620.79,2,Yes
No,No,0,0,24,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1712.7,2453.58,2,Yes
No,No,0,0,4,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,396.1,522.54,3,Yes
No,Yes,0,2,32,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2303.35,3818.23,2,Yes
No,Yes,0,1,24,Offer C,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2231.05,2617.4500000000003,2,Yes
