Neighborhood,Borough,Latitude,Longitude,Cluster label,1st Most Common,2nd Most Common,3rd Most Common,4th Most Common,5th Most Common,6th Most Common,7th Most Common,8th Most Common,9th Most Common,10th Most Common
Agincourt,Scarborough,43.7853531,-79.2785494,1,Hong Kong Restaurant,Asian Restaurant,Food Court,Korean Restaurant,Vietnamese Restaurant,Chinese Restaurant,Coffee Shop,Electronics Store,Train Station,Escape Room
"Alderwood, Long Branch",Etobicoke,43.6017173,-79.5452325,1,Pizza Place,Pharmacy,Pub,Sandwich Place,Playground,Coffee Shop,Dive Bar,Doctor's Office,Dog Run,Doner Restaurant
"Bathurst Manor, Wilson Heights, Downsview North",North York,43.76389295,-79.45636693710946,1,Baseball Field,Playground,Park,Convenience Store,Yoga Studio,Event Space,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room
Bayview Village,North York,43.7691966,-79.3766617,1,Bank,Fast Food Restaurant,Metro Station,Persian Restaurant,Breakfast Spot,Fish Market,Outdoor Supply Store,Pizza Place,Gas Station,Sporting Goods Shop
"Bedford Park, Lawrence Manor East",North York,43.7373876,-79.4109253,1,Gym / Fitness Center,Construction & Landscaping,Yoga Studio,Event Space,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant,Falafel Restaurant
Berczy Park,Downtown Toronto,43.64798435,-79.37539591138858,5,Coffee Shop,Café,Hotel,Sandwich Place,Italian Restaurant,Japanese Restaurant,Gym,Restaurant,Bakery,Cocktail Bar
"Birch Cliff, Cliffside West",Scarborough,43.6918051,-79.2644935,1,College Stadium,Café,General Entertainment,Skating Rink,Escape Room,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Ethiopian Restaurant
"Brockton, Parkdale Village, Exhibition Place",West Toronto,43.6509173,-79.4400216,1,Park,Vietnamese Restaurant,Bar,Jazz Club,Dive Bar,Bus Stop,Boutique,Gastropub,Bakery,Grocery Store
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Downtown Toronto,43.6425637,-79.38708718320467,0,Coffee Shop,Hotel,Baseball Stadium,Pizza Place,Concert Hall,Gym,Scenic Lookout,Sandwich Place,Aquarium,Pool
Caledonia and Fairbanks,York,43.687717,-79.450228,1,Café,Mexican Restaurant,Park,Sporting Goods Shop,Gym,Beer Store,Bakery,Doner Restaurant,Donut Shop,Egyptian Restaurant
Cedarbrae,Scarborough,43.75646655,-79.22669244258802,1,Fast Food Restaurant,Coffee Shop,Optical Shop,Toy / Game Store,Liquor Store,Electronics Store,Sandwich Place,Bus Station,Big Box Store,Beer Store
Central Bay Street,Downtown Toronto,45.421351349999995,-75.69996970195123,5,Coffee Shop,Sandwich Place,Restaurant,Hotel,Café,Bank,Salad Place,Juice Bar,Deli / Bodega,Food Truck
Christie,Downtown Toronto,43.6641106,-79.4184051,4,Korean Restaurant,Coffee Shop,Fast Food Restaurant,Dessert Shop,Pub,Sandwich Place,Café,Bubble Tea Shop,Gift Shop,Indian Restaurant
Church and Wellesley,Downtown Toronto,43.6655242,-79.3838011,0,Sushi Restaurant,Japanese Restaurant,Restaurant,Gym,Gay Bar,Mediterranean Restaurant,Burrito Place,Indian Restaurant,Fast Food Restaurant,Coffee Shop
"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",Etobicoke Northwest,43.7225629,-79.59703850234453,1,Department Store,Paper / Office Supplies Store,Coffee Shop,Bus Station,Sandwich Place,Restaurant,Bank,Bakery,Chinese Restaurant,Grocery Store
"Clarks Corners, Tam O'Shanter, Sullivan",Scarborough,43.7964095,-79.2977951,1,Park,Convenience Store,Caribbean Restaurant,Gas Station,Yoga Studio,Escape Room,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store
"Cliffside, Cliffcrest, Scarborough Village West",Scarborough,43.7111699,-79.2481769,1,Pharmacy,Pub,Breakfast Spot,Snack Place,Sandwich Place,Coffee Shop,Grocery Store,Dog Run,Doner Restaurant,Donut Shop
"Commerce Court, Victoria Hotel",Downtown Toronto,43.648163800000006,-79.37776594404383,5,Coffee Shop,Sandwich Place,Cocktail Bar,Café,Hotel,Restaurant,Gastropub,Beer Bar,Japanese Restaurant,Gym
Davisville,Central Toronto,43.697936,-79.3972908,0,Sushi Restaurant,Italian Restaurant,Coffee Shop,Pub,Park,Furniture / Home Store,Gastropub,Japanese Restaurant,Bank,Metro Station
Davisville North,Central Toronto,43.697936,-79.3972908,0,Sushi Restaurant,Italian Restaurant,Coffee Shop,Pub,Park,Furniture / Home Store,Gastropub,Japanese Restaurant,Bank,Metro Station
